Status;Palavra_Sigla;Definicao;Referencia;Data_Atualizacao;Data_Agendamento;Responsavel_Agendamento;Data_Arquivamento;Responsavel_Arquivamento;Descricao_Historico
ATIVO;"Equipamento desativado";"Equipamento que se encontra sem condições de operação devendo ser segregado e/ou adequadamente identificado conforme descrito no PQ-08.02. Sua numeração poderá ser reutilizada a critério da Unidade, desde que seja mantida a rastreabilidade das informações referentes ao equipamento desativado.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;"Equipamento inativo (ou fora de uso)";"Equipamento que se encontra fora de uso temporariamente, podendo ser reativado, desde que comprovado que está em condições de atender as especificações requeridas para uso.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;"Erro absoluto (EA)";"Diferença entre o valor correto e o valor obtido experimentalmente. O valor pode ser negativo ou positivo.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;"Erro de medição (E)";"Diferença entre o valor medido de uma grandeza e um valor de referência.";"VIM 2012 - item 2.16";2025-04-17;;;;;
ATIVO;"Erro máximo do equipamento (EME) ou Incerteza total";"É a soma da tendência ou erro com a incerteza expandida.";"ISO 14253";2025-04-17;;;;;
ATIVO;Estagiário;"Indivíduo vinculado a instituições de ensino regular, cumprindo estágio obrigatório (curricular) ou não-obrigatório (não-curricular), definido junto a um orientador do corpo técnico do Ital e registrado no NTC.";"Lei nº 11.788, de  25 de setembro de 2008, com adaptação  para o Sistema de Gestão da Qualidade do Ital.";2025-04-17;;;;;
ATIVO;Estágio;"Ato educativo escolar supervisionado, desenvolvido no ambiente de trabalho, que visa à preparação para o trabalho produtivo de educandos que estejam frequentando o ensino regular em instituições de educação superior, de educação profissional, de ensino médio, da educação especial e dos anos finais de ensino fundamental, na modalidade profissional da educação de jovens e adultos.";"Lei nº 11.788, de  25 de setembro de 2008.";2025-04-17;;;;;
ATIVO;Evento;"Atividades com finalidade de treinamento (cursos) e transferência de conhecimento técnico científico (seminários, workshops etc., programado pelo Ital e aberto à participação de qualquer interessado";"Estabelecido internamente pelo Conselho Técnico Científico.";2025-04-17;;;;;
ATIVO;Eventos;"Área responsável pelo apoio aos eventos realizados pelo Ital";"Estabelecido internamente pelo Conselho Técnico Científico.";2025-04-17;;;;;
ATIVO;"Evidência objetiva";"Dados que apoiam a existência ou a veracidade de alguma coisa.";"ABNT NBR ISO 9000:2015
ABNT NBR ISO 19011:2018";2025-04-17;;;;;
ATIVO;FA;"Fundação de Apoio: Fundação que mantém contrato com a Apta/SAA, visando à contratação de serviços especializados ou projetos para atendimento de seus usuários";"Estabelecido internamente  pelo Conselho Técnico Científico.";2025-04-17;;;;;
ATIVO;Fapesp;"Fundação de Amparo à Pesquisa do Estado de São Paulo";http://www.fapesp.br/;2025-04-17;;;;;
ATIVO;FAT;"Ficha de Autorização de Trânsito";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;"Fator de abrangência (K)";"Número maior do que um (1) pelo qual uma incerteza-padrão combinada é multiplicada para se obter uma incerteza de medição expandida. Um fator de abrangência é geralmente simbolizado por k. Fator citado no certificado de calibração";"VIM 2012 - item 2.38";2025-04-17;;;;;
ATIVO;FDS;"Ficha de Dados de Segurança";"ABNT NBR 14725";2025-04-17;;;;;
ATIVO;FED;"Fundo Especial de Despesas";http://www.saopaulo.sp.gov.br/;2025-04-17;;;;;
ATIVO;Finep;"Empresa pública brasileira de fomento à ciência, tecnologia e inovação.";http://www.finep.gov.br/;2025-04-17;;;;;
ATIVO;FISPQ;"Ficha de Informações de Segurança de Produto Químico";"ABNT NBR 14725-2";2025-04-17;;;;;
ATIVO;Fogo;"Toda combustão acompanhada de desenvolvimento de luz, calor e, geralmente, de chamas.";http://www.corpodebombeiros.sp.gov.br/;2025-04-17;;;;;
ATIVO;"Fonte de ignição";"É o elemento que dá início ao fogo; é ela que faz o fogo se manter e propagar pelo combustível.";http://www.corpodebombeiros.sp.gov.br/;2025-04-17;;;;;
