ATIVOS:
Documentos em vigor
Código	Nome		Categoria	Autor	Revisão	Vigor	Análise	Distribuição	Ações
IT-06.01.03	Viagens a serviço, missão, estudo ou participação em eventos científicos		IT	Secretária do Diretor Geral	15	23/09/25	22/09/28	Intranet RA-110	   
IT-06.01.04	Política de utilização da rede de informática e telefonia		IT	Analista de Sistemas GTI - DG	22	23/09/25	22/09/28	Área do aluno Extranet Intranet RA-110	   
IT-06.01.05	Estágio		IT	Diretora do Núcleo de Treinamento e Capacitação (NTC)	19	23/09/25	22/09/28	Intranet RA-110	   
IT-06.01.07	Compra de materiais ou serviços com recursos do Tesouro ou FED		IT	Diretora do Centro de Atividades Administrativas	17	21/10/25	20/10/28	Intranet RA-110	   
IT-06.01.08	Gestão e controle de recebimentos via fundo especial de despesas – FED		IT	Diretora do Centro de Atividades Administrativas	11	12/06/26	12/06/29	Intranet RA-110	   
IT-06.01.09	Programa 5S		IT	Coordenadora Time 5S	14	15/05/26	15/05/29	Área do aluno Extranet Intranet RA-110	   
IT-06.01.11	Segurança do trabalho		IT	Coordenador Time SegurançaPresidente Cipa	18	21/10/25	20/10/28	Área do aluno Extranet Intranet RA-110	   
IT-06.01.12	Verificação de segurança das capelas de exaustão		IT	Coordenador Time SegurançaPresidente Cipa	6	13/11/24	13/11/27	Intranet RA-110	   
IT-06.01.13	Controle de acesso na portaria do Ital		IT	Diretora Geral	11	17/04/24	17/04/27	Intranet RA-110	   
IT-06.01.14	Profissional externo		IT	Diretora Geral	15	21/10/25	20/10/28	Extranet Intranet RA-110	   
IT-06.01.15	Recursos Humanos		IT	Diretora Geral	11	02/02/26	02/02/29	Intranet RA-110	   
IT-06.02.01	Matriz de versatilidade		IT	RA	15	02/02/26	02/02/29	Intranet RA-110	   
IT-06.02.02	Palestras e treinamentos internos		IT	RA	7	16/12/25	16/12/28	Intranet RA-110	   
IT-07.01.01	Gerenciamento de resíduos		IT	Coordenadora Time Ger. Resíduos	14	23/09/25	22/09/28	Área do aluno Extranet Intranet RA-110	   
IT-07.01.02	Controle de estoque e aprovação de materiais para processos e ensaios		IT	RA	16	17/04/25	16/04/28	Intranet RA-110	   
IT-07.01.03	Difusão do conhecimento		IT	Analista de Eventos (Eventos - DG)	34	02/06/26	02/06/29	Intranet RA-110 RA-56	   
IT-07.01.04	Serviços de apoio		IT	Diretor do Núcleo de Apoio Operacional - DG	10	13/05/25	12/05/28	Intranet RA-110	   
IT-07.01.06	Controle patrimonial		IT	Diretor do Apoio Operacional	15	21/10/25	20/10/28	Intranet	   
IT-07.01.07	Programa de Pós-Graduação stricto sensu		IT	Reitora da Pós-Graduação	21	17/04/26	17/04/29	Área do aluno Intranet RA-110	   
IT-07.01.08	Proteção intelectual		IT	Diretor Técnico de Divisão – NIT	2	21/06/24	21/06/27	Intranet RA-110	   
IT-07.01.09	Ensaios e análises		IT	RA	6	11/12/24	11/12/27	Intranet RA-110	   
IT-07.01.10	Orientação para cálculos de incerteza de medição		IT	RA	3	16/12/25	16/12/28	Intranet RA-110	   
IT-07.01.11	Contratos via fundação de apoio (FA) e outros acordos e termos		IT	Diretora Geral	2	13/11/24	13/11/27	Intranet RA-110	   
IT-07.01.12	Curso EAD (Educação a Distância)		IT	RA	0	02/06/26	02/06/29	Intranet RA-110 RA-56	   
IT-07.03.01	Controle e verificação de vidrarias volumétricas		IT	Coordenadora Time de Metrologia/Eimes	12	19/11/25	18/11/28	Intranet RA-110	   
IT-07.03.02	Checagem intermediária de pipeta automática ou micropipeta		IT	Coordenadora Time de Metrologia/Eimes	6	06/01/25	06/01/28	Intranet RA-110	   
IT-07.03.03	Verificação de performance de ICP OES		IT	Coordenadora Time de Metrologia/Eimes	6	16/10/24	16/10/27	Intranet RA-110	   
IT-07.03.04	Verificação da performance de espectrofotômetros com largura da fenda espectral até 2nm		IT	Coordenadora Time de Metrologia/Eimes	6	19/09/24	19/09/27	Intranet RA-110	   
IT-07.03.05	Verificação da performance de cromatógrafos liquídos e gasosos		IT	Coordenadora Time de Metrologia/Eimes	5	16/10/24	16/10/27	Intranet RA-110	   
